"Path"	"Name"	"Url"	"Branch"	"Head"
".\aspnet-archived\aspnet-docker.git"	"aspnet-docker.git"	"https://github.com/aspnet/aspnet-docker.git"	"master"	"refs/remotes/origin/master"
".\aspnet-archived\JsonPatch.git"	"JsonPatch.git"	"https://github.com/aspnet/JsonPatch.git"	"master"	"refs/remotes/origin/master"
".\aspnet\AspNetCore.git"	"AspNetCore.git"	"https://github.com/aspnet/AspNetCore.git"	"main"	"refs/remotes/origin/main"
".\aspnet\BuildTools.git"	"BuildTools.git"	"https://github.com/aspnet/BuildTools.git"	"main"	"refs/remotes/origin/main"
".\aspnet\CORS.git"	"CORS.git"	"https://github.com/aspnet/CORS.git"	"master"	"refs/remotes/origin/master"
".\aspnet\EntityFrameworkCore.git"	"EntityFrameworkCore.git"	"https://github.com/aspnet/EntityFrameworkCore.git"	"main"	"refs/remotes/origin/main"
".\aspnet\HttpAbstractions.git"	"HttpAbstractions.git"	"https://github.com/aspnet/HttpAbstractions.git"	"master"	"refs/remotes/origin/master"
".\aspnet\IISIntegration.git"	"IISIntegration.git"	"https://github.com/aspnet/IISIntegration.git"	"master"	"refs/remotes/origin/master"
".\aspnet\KestrelHttpServer.git"	"KestrelHttpServer.git"	"https://github.com/aspnet/KestrelHttpServer.git"	"master"	"refs/remotes/origin/master"
".\aspnet\MetaPackages.git"	"MetaPackages.git"	"https://github.com/aspnet/MetaPackages.git"	"master"	"refs/remotes/origin/master"
".\aspnet\Mvc.git"	"Mvc.git"	"https://github.com/aspnet/Mvc.git"	"master"	"refs/remotes/origin/master"
".\aspnet\Razor.git"	"Razor.git"	"https://github.com/aspnet/Razor.git"	"master"	"refs/remotes/origin/master"
".\aspnet\Routing.git"	"Routing.git"	"https://github.com/aspnet/Routing.git"	"master"	"refs/remotes/origin/master"
".\aspnet\websdk.git"	"websdk.git"	"https://github.com/aspnet/websdk.git"	"main"	"refs/remotes/origin/main"
".\dmauser-PrivateLink.git"	"dmauser-PrivateLink.git"	"https://github.com/dmauser/PrivateLink.git"	"master"	"refs/remotes/origin/master"
".\dotnet-architecture\eShopOnWeb.git"	"eShopOnWeb.git"	"https://github.com/dotnet-architecture/eShopOnWeb.git"	"master"	"refs/remotes/origin/master"
".\dotnet.git"	"dotnet.git"	"https://github.com/microsoft/dotnet.git"	"master"	"refs/remotes/origin/master"
".\dotnet\arcade-services.git"	"arcade-services.git"	"https://github.com/dotnet/arcade-services.git"	"main"	"refs/remotes/origin/main"
".\dotnet\arcade.git"	"arcade.git"	"https://github.com/dotnet/arcade.git"	"main"	"refs/remotes/origin/main"
".\dotnet\aspnetcore-tooling.git"	"aspnetcore-tooling.git"	"https://github.com/dotnet/aspnetcore-tooling.git"	"main"	"refs/remotes/origin/main"
".\dotnet\AspNetCore.Docs"	"AspNetCore.Docs"	"https://github.com/dotnet/AspNetCore.Docs.git"	"main"	"refs/remotes/origin/main"
".\dotnet\aspnetcore.git"	"aspnetcore.git"	"https://github.com/dotnet/aspnetcore.git"	"main"	"refs/remotes/origin/main"
".\dotnet\buildtools.git"	"buildtools.git"	"https://github.com/dotnet/buildtools.git"	"readme-archived-notice"	"refs/remotes/origin/archive"
".\dotnet\cli.git"	"cli.git"	"https://github.com/dotnet/cli.git"	"master"	"refs/remotes/origin/archive"
".\dotnet\CliCommandLineParser.git"	"CliCommandLineParser.git"	"https://github.com/dotnet/CliCommandLineParser.git"	"main"	"refs/remotes/origin/main"
".\dotnet\core-sdk.git"	"core-sdk.git"	"https://github.com/dotnet/core-sdk.git"	"main"	"refs/remotes/origin/main"
".\dotnet\core-setup.git"	"core-setup.git"	"https://github.com/dotnet/core-setup.git"	"archive"	"refs/remotes/origin/archive"
".\dotnet\core.git"	"core.git"	"https://github.com/dotnet/core.git"	"main"	"refs/remotes/origin/main"
".\dotnet\coreclr.git"	"coreclr.git"	"https://github.com/dotnet/coreclr.git"	"archive"	"refs/remotes/origin/archive"
".\dotnet\corefx.git"	"corefx.git"	"https://github.com/dotnet/corefx.git"	"archive"	"refs/remotes/origin/archive"
".\dotnet\corefxlab.git"	"corefxlab.git"	"https://github.com/dotnet/corefxlab.git"	"archive"	"refs/remotes/origin/archive"
".\dotnet\docfx.git"	"docfx.git"	"https://github.com/dotnet/docfx.git"	"main"	"refs/remotes/origin/dev"
".\dotnet\docker-tools.git"	"docker-tools.git"	"https://github.com/dotnet/docker-tools.git"	"main"	"refs/remotes/origin/main"
".\dotnet\dotnet-ci.git"	"dotnet-ci.git"	"https://github.com/dotnet/dotnet-ci.git"	"master"	"refs/remotes/origin/master"
".\dotnet\dotnet-docker.git"	"dotnet-docker.git"	"https://github.com/dotnet/dotnet-docker.git"	"main"	"refs/remotes/origin/main"
".\dotnet\efcore.git"	"efcore.git"	"https://github.com/dotnet/efcore.git"	"main"	"refs/remotes/origin/main"
